# z_Value Average_Flux
3.616531472595479330e-02 4.786216354370117188e+01
3.711964508264725682e-02 1.153739471435546875e+02
8.100822981380693955e-02 1.608647460937500000e+02
2.430414585107677425e-02 1.139516830444335938e+02
7.852156024137500745e-02 7.429096221923828125e+01
6.347891898718492631e-02 2.131731109619140625e+02
6.765035599555155321e-02 1.505526580810546875e+02
2.987245943686580446e-02 3.685953903198242188e+01
2.855851114769736646e-02 1.239793395996093750e+02
9.075957464731573832e-02 1.279537506103515625e+02
6.740419129787481034e-02 1.542059173583984375e+02
1.787591045893407005e+00 1.408138370513916016e+01
3.232618040819845023e-02 4.952743148803710938e+01
2.524812654778182605e-02 1.396710357666015625e+02
2.383245027152136597e-02 5.348132705688476562e+01
3.592642099194025967e-02 2.239335479736328125e+02
2.718777073695211391e-02 4.123966979980468750e+01
2.312566020022531824e-02 1.303073425292968750e+02
7.257803872895166042e-02 1.331450958251953125e+02
7.134400553588897409e-02 9.664709472656250000e+01
6.201103588174710496e-02 2.333750915527343750e+02
1.327887578062965715e-02 7.082829284667968750e+01
3.879262176669741324e-02 5.324633407592773438e+01
3.807548203541389481e-02 4.358309555053710938e+01
3.699394256672355885e-02 2.811344718933105469e+01
4.494385702481861616e-02 4.493634414672851562e+01
8.350000871205552622e-02 1.576328887939453125e+02
7.604117906994818654e-02 1.519196472167968750e+02
4.406367739664386607e-02 5.380953216552734375e+01
3.898762770203090949e-02 3.043469429016113281e+01
3.477413701194314449e-02 3.058342933654785156e+01
3.711964508264725682e-02 1.201422348022460938e+02
7.579370428872876653e-02 1.905037384033203125e+02
3.521124638597081941e-02 1.418306274414062500e+02
7.604117906994818654e-02 1.451280975341796875e+02
3.140434012336531383e-02 5.002478790283203125e+01
2.926903495709017033e-02 6.704521179199218750e+01
7.381351301391136932e-02 2.129708862304687500e+02
2.171286610775880616e-02 1.522357635498046875e+02
1.077170340075416927e-01 9.224928855895996094e+00
2.501178747667561625e-02 1.746191558837890625e+02
2.112129788404479291e-02 5.067336654663085938e+01
4.186018238197036778e-02 3.288175964355468750e+01
3.544935406985970372e-02 6.768984985351562500e+01
4.238703247867414009e-02 1.465209197998046875e+02
2.406852732591903410e-02 1.767059326171875000e+02
9.126153315670791633e-02 8.413987731933593750e+01
3.402018393310919653e-02 1.498084564208984375e+02
1.801277095639112757e-01 2.749394836425781250e+02
5.688815070048200417e-02 8.956040954589843750e+01
3.009563216836771624e-02 3.419380187988281250e+01
2.737504717938358395e-02 1.268468017578125000e+02
8.925343710243052731e-02 1.798260192871093750e+02
4.238703247867414009e-02 2.921713256835937500e+02
5.397144620515304664e-02 1.848599853515625000e+02
2.406852732591903410e-02 1.189685211181640625e+02
2.406852732591903410e-02 7.190595245361328125e+01
6.888013141710035148e-02 2.051804046630859375e+02
2.383245027152136597e-02 4.239520645141601562e+01
8.175504293733305838e-02 2.058411560058593750e+02
4.274186860621910500e-02 3.900208663940429688e+01
3.588469483110468677e-02 4.385414886474609375e+01
3.449653030924127589e-02 6.034655380249023438e+01
2.134643574086078285e-02 4.097086715698242188e+01
2.194848463291654631e-02 3.819132232666015625e+01
8.674842636040047683e-02 1.600339965820312500e+02
2.987245943686580446e-02 1.096664505004882812e+02
2.713824957903740800e-02 5.353268051147460938e+01
7.208413723334719525e-02 1.514900817871093750e+02
3.283049706796752759e-02 6.830471801757812500e+01
3.688114437369559295e-02 9.479930877685546875e+01
2.539439737532623795e-02 7.909387969970703125e+01
1.763295153568647244e-01 1.520335388183593750e+02
3.588469483110468677e-02 5.844271850585937500e+01
8.574778455047303571e-02 1.209744262695312500e+02
5.397144620515304664e-02 3.997920227050781250e+01
2.383245027152136597e-02 4.449005889892578125e+01
2.089557048963453650e-02 3.933314514160156250e+01
3.927119528485212285e-02 6.743173980712890625e+01
8.855640715352776707e-03 7.957707977294921875e+01
9.000594908936754290e-02 2.216927642822265625e+02
7.183757951060786018e-02 1.576591186523437500e+02
2.021917435652953801e-02 7.435890197753906250e+01
8.950405608415235026e-02 1.849275054931640625e+02
8.549808262723110341e-02 7.047048950195312500e+01
2.832132052228837626e-02 5.103105163574218750e+01
7.554570547409242276e-02 1.821726989746093750e+02
1.918699883572874409e-01 1.685620117187500000e+02
2.382223161988816784e-02 4.362242507934570312e+01
2.572047716910861453e-02 5.880203628540039062e+01
