# z_Value Average_Flux
4.472363198128781470e-02 4.490844345092773438e+01
2.832132052228837626e-02 1.514923400878906250e+02
2.855851114769737339e-02 1.404559478759765625e+02
5.154752963441727037e-02 7.014933013916015625e+01
3.477413701194312368e-02 5.555993270874023438e+01
8.975526460346848479e-02 1.521730957031250000e+02
3.497254916448767209e-02 1.517974548339843750e+02
2.713824957903739760e-02 9.289458465576171875e+01
3.521124638597079165e-02 1.209265213012695312e+02
7.731916556586896500e-03 7.616845703125000000e+01
2.336101670867449590e-02 8.118877410888671875e+01
8.001289384222741441e-02 1.157633666992187500e+02
7.356656226610915061e-02 1.169737167358398438e+02
2.561855266948518534e-02 4.635047912597656250e+01
2.619302430296678585e-02 1.225004119873046875e+02
5.713130220601039116e-02 5.322394943237304688e+01
4.671646556229243352e-02 7.436335754394531250e+01
7.901840942495060027e-02 1.588563079833984375e+02
8.026135118610379371e-02 1.521284942626953125e+02
4.840490123214667012e-02 1.707344055175781250e+02
2.763575380438435328e-02 3.950370407104492188e+01
8.850144914891079628e-02 1.690051574707031250e+02
8.950405608415241965e-02 1.866522827148437500e+02
2.147790262437244968e-02 8.677729034423828125e+01
3.378181423251178789e-02 3.740581893920898438e+01
8.749923523873193165e-02 1.766190032958984375e+02
3.616531472595476554e-02 4.786212921142578125e+01
4.208053843385538978e-02 4.335325622558593750e+01
3.711964508264727070e-02 1.153739242553710938e+02
8.100822981380698118e-02 1.608648223876953125e+02
4.695725891744390729e-02 8.632485198974609375e+01
2.430414585107678466e-02 1.139516296386718750e+02
6.715874714614676610e-02 8.567301177978515625e+01
7.852156024137502133e-02 7.429100799560546875e+01
3.388459028643797666e-02 4.037514495849609375e+01
6.347891898718489856e-02 2.131732025146484375e+02
6.765035599555149770e-02 1.505526428222656250e+02
2.987245943686582528e-02 3.685953521728515625e+01
2.855851114769737339e-02 1.239794158935546875e+02
9.075957464731568280e-02 1.279535751342773438e+02
6.740419129787486585e-02 1.542060546875000000e+02
1.787591045893405894e+00 1.408140563964843750e+01
3.232618040819845023e-02 4.952744674682617188e+01
2.524812654778181564e-02 1.396708679199218750e+02
2.383245027152136597e-02 5.348133087158203125e+01
7.752910645358943031e-02 2.948800354003906250e+02
2.453976437623451787e-02 1.426542510986328125e+02
2.642910135736446786e-02 8.960974884033203125e+01
6.250028658077498578e-02 2.681461181640625000e+02
4.022899736293283901e-02 9.483139038085937500e+01
3.592642099194023886e-02 2.239338836669921875e+02
